齹,dzrie/dza
脂,ti
祗,ti
汦,ti/tié
砥,ti/tié/tí
栺,ti/ŋèi
鴲,ti/tì
㴯,ti
䓜,ti
𥁼,ti
姨,ji
彞,ji
寅,ji/jin
夷,ji
峓,ji
恞,ji
眱,ji
𣟗,ji
珆,ji
蔩,ji/jin/jién
𡰥,ji
痍,ji
䧅,ji
荑,ji/dei
桋,ji/dei
蛦,ji
胰,ji
鮧,ji/dei
羠,ji/zí
羨,ji
鏔,ji/jiə
𢓡,ji
鴺,ji/dei
𡱐,ji
跠,ji
洟,ji/thèi
師,sri
鰤,sri
蒒,sri
篩,sri
獅,sri
螄,sri
𣬈,bi
毗,bi
比,bi/pí/bì/pì/bit
琵,bi
㮰,bi/bet
芘,bi/bì
沘,bi/pí
貔,bi
豼,bi
膍,bi/bei
肶,bi
蚍,bi
𧖈,bi
枇,bi/pí/bì
仳,bi/phié/brí
𨈚,bi
魮,bi
鈚,bi/phei
𦳈,bi
𦊁,bi
阰,bi
𧑜,bi
鵧,bi
咨,ci
資,ci
粢,ci
𪗉,ci
𪗋,ci
𧞓,ci
諮,ci
姿,ci
齍,ci
澬,ci/dzi
𣳩,ci
齎,ci/cei
蒫,ci/dza/cia
𩆂,ci/dzi
𩄚,ci
飢,kri
机,kri/krí
肌,kri
虮,kri
鴟,thi
𨾦,thi
鵄,thi
胵,thi
𩶅,thi
𧪡,thi
𨒬,thi
絺,thri
辴,thri/thrín
郗,thri
𥭘,thri
脪,thri/qhín/qhiə̀n
瓻,thri
訵,thri/thrì
郪,chi/chei
趑,chi
𨌅,chi/dzi/dzre
趀,chi
𧾒,chi
𧠵,chi
𡰾,chi
𡳠,chi
蠀,chi
茨,dzi
薋,dzi
薺,dzi/dzéi
餈,dzi
𩜴,dzi
垐,dzi/dziək
䆅,dzi
𧓉,dzi
瓷,dzi
𥿆,dzi/ziə
尼,nri
柅,nri/nrí
怩,nri
蚭,nri
跜,nri
呢,nri
𩚯,nri
䝚,nri
墀,dri
𡎰,dri
坻,dri/tié/téi
泜,dri
遲,dri
遟,dri/drì
蚳,dri
岻,dri/tei
彽,dri
阺,dri
荎,dri/det
菭,dri/dəi
謘,dri/drì
莉,dri/driə/lei
貾,dri
私,si
鋖,si
厶,si
𦮺,si
㺨,si
尸,shi
鳲,shi
屍,shi/shì
蓍,shi
鬐,gri
𦓀,gri
耆,gri
愭,gri
𧡺,gri
𥉙,gri
䅲,gri
祁,gri/tí
𨪌,gri
鰭,gri
鮨,gri
伊,qi
咿,qi
𧉅,qi
黝,qi/qiə́u
黟,qi/qei
棃,li
梨,li
𠠍,li/li
秜,li
蜊,li
蔾,li/lei
犂,li
刕,li
𢤂,li
鯬,li/lei
鑗,li
䴻,li
蟍,li
葵,gyi
鄈,gyi
楑,gyi/gýi
𩹍,gyi
𢜽,gyi/gýi
𦝢,gyi/gryi
䳫,gyi
𧍜,gyi
追,tryi
䨨,tryi
娺,tryi/truet
龜,kryi/kyu
𪚦,kryi
𤕣,kryi
䟸,kryi/gryi
螝,kryi/ghùi
騩,kryi/kyui/krỳi
蕤,nyi
甤,nyi/nyé/nýi
緌,nyi
擩,nyi/nyó/nyò/nòu
桵,nyi
